Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
South Melbourne,62 Bridport St,3,h,1800000,S,Cayzer,2017-10-14,1.9,3205,3,1,2,2402,139,1970,Port Phillip City Council,-37.83899,144.96078,Southern Metropolitan,5943
Bentleigh East,67 Bignell Rd,3,h,1056532,PI,Jellis,2018-03-17,13.8,3165,3,2,3,610,139,1970,Glen Eira City Council,-37.9361,145.06869,Southern Metropolitan,10969
Hoppers Crossing,1 Llewellyn Ct,4,h,553500,S,Sweeney,2017-09-23,18.4,3029,4,2,2,570,216,1970,Wyndham City Council,-37.86572,144.68994,Western Metropolitan,13830
Taylors Lakes,11 Wellesley Dr,5,h,691000,PI,Prof.,2017-11-11,15.5,3038,5,2,2,662,335,1970,Brimbank City Council,-37.6947,144.7933,Western Metropolitan,5336
Brighton East,3/127 Dendy St,2,u,692000,S,Buxton,2016-07-26,10.7,3187,2,1,1,74,66,1960,Bayside City Council,-37.9207,145.0079,Southern Metropolitan,6938
Croydon,22 Glen Av,4,h,1359154,PI,McGrath,2017-07-08,23.0,3136,3,1,2,742,216,1970,Maroondah City Council,-37.79378333333333,145.27551000000003,Eastern Metropolitan,11925
Elwood,1/40 Ormond Rd,1,u,470000,SP,hockingstuart,2017-02-25,7.7,3184,1,1,1,900,52,1970,Port Phillip City Council,-37.8839,144.9848,Southern Metropolitan,8989
Thornbury,6/89 Ballantyne St,1,u,270000,PI,Nelson,2016-11-07,6.5,3071,1,1,1,0,33,1970,Darebin City Council,-37.7581,144.9944,Northern Metropolitan,8870
Altona,159 Blyth St,4,h,1359154,SP,hockingstuart,2017-10-07,11.0,3018,4,2,2,640,216,1970,Hobsons Bay City Council,-37.86974,144.81491,Western Metropolitan,5301
Mulgrave,1 Sutherland Ct,4,h,992000,S,Harcourts,2017-07-08,18.8,3170,4,2,1,790,216,1970,Monash City Council,-37.91375,145.16438,South-Eastern Metropolitan,7113
Bentleigh,248 Patterson Rd,4,t,1250000,PI,Buxton,2017-10-21,11.4,3204,4,3,2,750,297,1950,Glen Eira City Council,-37.92743,145.0489,Southern Metropolitan,6795
Bentleigh East,26A Bonny St,4,t,1330000,S,Ray,2017-09-03,13.8,3165,4,3,2,501,213,2014,Glen Eira City Council,-37.93194,145.06062,Southern Metropolitan,10969
Oakleigh,44 Henry St,4,h,1359154,S,Woodards,2016-11-19,14.0,3166,4,2,1,540,207,1965,Monash City Council,-37.9049,145.1038,Southern Metropolitan,3224
Northcote,83 Bastings St,3,h,1300000,S,Nelson,2016-09-17,5.5,3070,3,1,1,328,135,1920,Darebin City Council,-37.7745,145.0045,Northern Metropolitan,11364
Burwood,3/37 Sixth Av,2,u,580000,S,Buxton,2016-09-24,11.7,3125,3,1,2,667,92,1970,Monash City Council,-37.85172,145.10803687499998,Southern Metropolitan,5678
Pascoe Vale,2/297 Cumberland Rd,2,t,520000,S,Brad,2018-01-06,8.5,3044,3,1,2,424,92,1970,Moreland City Council,-37.724265384615386,144.94037615384616,Northern Metropolitan,7485
Mont Albert,203/766 Whitehorse Rd,1,u,475000,SP,hockingstuart,2018-03-03,10.2,3127,3,1,2,916,52,1970,Boroondara City Council,-37.815192,145.10986599999998,Eastern Metropolitan,2079
Bentleigh,548 Centre Rd,3,h,770000,VB,Woodards,2016-12-10,13.0,3204,3,2,2,0,139,1987,Glen Eira City Council,-37.9193,145.0438,Southern Metropolitan,6795
Oak Park,96 Winifred St,3,h,815500,S,Brad,2016-07-16,11.5,3046,3,2,2,790,165,1940,Moreland City Council,-37.718,144.9124,Northern Metropolitan,2651
Melbourne,1703/8 Franklin St,2,u,763562,PN,Pagan,2016-05-22,2.8,3000,3,1,2,292,92,1970,Melbourne City Council,-37.812842,144.962956,Northern Metropolitan,17496
Kilsyth,22 Colchester Rd,3,h,650000,SP,McGrath,2018-01-20,26.0,3137,3,1,1,623,110,1950,Maroondah City Council,-37.80416,145.30734,Eastern Metropolitan,4654
Keilor East,52 Prospect Dr,3,h,738000,S,Moonee,2017-05-13,12.8,3033,3,1,4,546,139,1970,Brimbank City Council,-37.7486,144.8565,Western Metropolitan,5629
Brunswick,1/32 Donald St,2,u,587000,SP,Jellis,2016-11-12,5.2,3056,2,1,1,114,65,1970,Moreland City Council,-37.758,144.9667,Northern Metropolitan,11918
Carlton North,159 Arnold St,5,h,1869914,PI,Craig,2017-11-25,3.5,3054,3,1,2,339,335,1970,Melbourne City Council,-37.786539999999995,144.9712842857143,Northern Metropolitan,3106
Brunswick East,89a Hickford St,3,h,1574000,S,Woodards,2016-04-16,4.5,3057,3,3,2,336,207,2007,Moreland City Council,-37.7664,144.9797,Northern Metropolitan,5533
Mentone,1/107 Warrigal Rd,2,u,455000,S,Buxton,2017-06-17,20.0,3194,2,1,1,3160,92,1970,Kingston City Council,-37.97946,145.07167,South-Eastern Metropolitan,6162
Newport,2A Gordon St,2,h,710000,S,Williams,2017-07-01,6.2,3015,2,1,2,120,121,2011,Hobsons Bay City Council,-37.84026,144.86667,Western Metropolitan,5498
Gladstone Park,1 Tecoma Ct,3,h,651000,S,Barry,2017-11-18,12.9,3043,3,1,2,430,117,1985,Hume City Council,-37.6994,144.8909,Western Metropolitan,3285
Preston,20 Austral Av,4,h,1485000,S,McGrath,2017-07-29,8.4,3072,4,1,2,509,202,1920,Darebin City Council,-37.74684,144.9933,Northern Metropolitan,14577
Essendon West,33b Emerald St,3,t,1056532,VB,Barry,2017-02-25,9.8,3040,3,1,2,433,139,1970,Moonee Valley City Council,-37.751425,144.886275,Western Metropolitan,588
Ormond,2/3 Coane St,3,u,973000,SP,Marshall,2016-10-15,11.8,3204,3,2,2,379,139,1970,Glen Eira City Council,-37.8981,145.0367,Southern Metropolitan,3578
Surrey Hills,2/59 Weybridge St,2,u,694000,S,Noel,2016-08-28,11.2,3127,3,1,1,0,92,1970,Boroondara City Council,-37.8174,145.0893,Southern Metropolitan,5457
Fitzroy North,80 Michael St,2,h,763562,S,Nelson,2017-04-08,3.5,3068,2,1,0,176,89,1880,Moreland City Council,-37.7856,144.9893,Northern Metropolitan,6244
Springvale South,7 Dangerfield Dr,3,h,833000,SP,Harcourts,2017-11-25,22.2,3172,3,1,4,754,139,1970,Greater Dandenong City Council,-37.9655,145.1513,South-Eastern Metropolitan,4054
Sandringham,131 Bay Rd,4,t,2300000,S,Hodges,2017-06-03,15.2,3191,4,2,2,604,166,1940,Bayside City Council,-37.95326,145.01779,Southern Metropolitan,4497
Ashburton,5 Taylor St,4,h,1860000,S,Jellis,2016-11-27,11.0,3147,4,2,3,696,274,2000,Boroondara City Council,-37.8711,145.0746,Southern Metropolitan,3052
South Yarra,9/21 Park La,3,u,2050000,S,Kay,2017-04-29,3.3,3141,3,2,2,3197,139,1970,Melbourne City Council,-37.8446,144.9844,Southern Metropolitan,14887
Glen Iris,1 Maitland St,4,h,1359154,PI,Marshall,2017-06-17,7.3,3146,4,2,4,885,217,1910,Boroondara City Council,-37.85767,145.04214,Southern Metropolitan,10412
Hampton,65 Linacre Rd,5,h,3470000,SP,Marshall,2016-11-12,13.7,3188,5,3,4,670,413,2008,Bayside City Council,-37.9427,145.0085,Southern Metropolitan,5454
South Kingsville,84 Kernot St,4,h,1359154,W,Gunn&Co,2017-08-12,6.2,3015,4,3,3,335,213,2010,Hobsons Bay City Council,-37.83288,144.87211,Western Metropolitan,984
Albion,1/2 Dubbo St,3,u,675000,S,Sweeney,2017-09-09,10.5,3020,3,1,1,284,139,1970,Brimbank City Council,-37.77933,144.81679,Western Metropolitan,2185
Balwyn,60a Talbot Av,4,t,1359154,SP,hockingstuart,2016-04-23,9.7,3103,3,1,2,910,216,1970,Boroondara City Council,-37.808739230769234,145.0802746153846,Southern Metropolitan,5682
Brighton East,23 Camperdown St,4,t,2570000,S,Gary,2016-11-12,10.7,3187,4,3,2,898,216,1970,Bayside City Council,-37.9176,145.0087,Southern Metropolitan,6938
Sunshine,2/17 Anderson Rd,3,t,525000,S,McGrath,2017-07-01,10.5,3020,3,2,1,177,139,1970,Brimbank City Council,-37.79408,144.82614,Western Metropolitan,3755
Craigieburn,25 Mountleigh Cct,3,h,560000,S,LJ,2017-10-21,20.6,3064,3,2,2,464,139,1970,Hume City Council,-37.58993,144.89716,Northern Metropolitan,15510
Hampton East,30 Short St,3,h,1050000,VB,Buxton,2017-11-25,13.8,3188,3,1,2,573,139,1970,Bayside City Council,-37.937,145.0247,Southern Metropolitan,2356
Brighton,8/20 Yuille St,3,t,2100000,S,Buxton,2017-04-08,11.2,3186,3,2,4,0,145,1970,Bayside City Council,-37.928,145.0002,Southern Metropolitan,10579
Mount Waverley,33 Oakern St,4,h,1460000,S,Buxton,2017-09-03,14.2,3149,4,2,2,773,216,1970,Monash City Council,-37.8856,145.11977,Eastern Metropolitan,13366
Brighton,5/41 Kinane St,3,t,1085000,S,Marshall,2017-11-18,10.5,3186,3,1,2,354,139,1970,Bayside City Council,-37.908732608695644,144.99801304347827,Southern Metropolitan,10579
Moorabbin,28 Grandview Gr,3,h,1321000,S,Charlton,2017-04-08,14.6,3189,3,1,2,688,139,1956,Kingston City Council,-37.9432,145.0462,Southern Metropolitan,2555
Maidstone,2 Omar St,4,h,1190000,S,Biggin,2017-10-28,6.4,3012,4,1,2,664,216,1955,Maribyrnong City Council,-37.78236,144.87043,Western Metropolitan,3873
Wollert,4 Muzzlewood Wy,3,h,780000,S,Iconek,2017-12-09,25.5,3750,3,2,3,660,206,1970,Whittlesea City Council,-37.61313,145.03937,Northern Metropolitan,2940
Mulgrave,28 Mangana Dr,3,h,1056532,SN,Hall,2017-07-29,18.8,3170,3,1,2,675,139,1970,Monash City Council,-37.92669,145.17139,South-Eastern Metropolitan,7113
Yarraville,45b Kidman St,3,t,810000,PI,Jas,2017-09-09,6.3,3013,3,1,2,279,139,1970,Maribyrnong City Council,-37.81762636363637,144.8861118181818,Western Metropolitan,6543
Fawkner,5A Edward St,2,t,515000,SP,Alexkarbon,2017-09-03,13.1,3060,2,1,2,177,84,2013,Hume City Council,-37.70982,144.96397,Northern Metropolitan,5070
Fawkner,35 Bungay St,3,t,600000,S,Hodges,2017-04-29,12.4,3060,3,1,2,540,139,1970,Hume City Council,-37.70744933333334,144.96644533333335,Northern Metropolitan,5070
Malvern,3/298 Glenferrie Rd,3,u,927000,S,Jellis,2016-05-22,7.4,3144,3,1,1,0,139,1970,Stonnington City Council,-37.8549,145.0298,Southern Metropolitan,4675
Westmeadows,27 Eyre St,3,h,800000,S,YPA,2017-07-15,16.5,3049,3,2,2,898,142,1985,Hume City Council,-37.67823,144.90002,Northern Metropolitan,2474
Keilor East,148 Rachelle Rd,4,h,1160000,S,Nelson,2017-08-26,11.7,3033,4,3,4,670,273,1970,Brimbank City Council,-37.73492,144.87231,Western Metropolitan,5629
Mitcham,2/87 Churinga Av,3,u,635000,S,Noel,2017-11-18,17.2,3132,3,1,2,745,139,1970,Whitehorse City Council,-37.813826,145.19653000000002,Eastern Metropolitan,6871
Mill Park,7 Mew Ct,4,h,676000,S,Harcourts,2017-07-08,17.9,3082,4,2,2,537,216,1970,Whittlesea City Council,-37.65532,145.04131,Northern Metropolitan,10529
Box Hill,39 Court St,5,h,1941000,S,Lindellas,2017-10-21,10.9,3128,5,3,4,487,207,1930,Whitehorse City Council,-37.815,145.12687,Eastern Metropolitan,4605
Albion,28 Selwyn St,2,h,541000,S,Barry,2016-06-27,13.9,3020,2,1,1,497,92,1970,Brimbank City Council,-37.7806,144.8159,Western Metropolitan,2185
St Kilda,57 Octavia St,3,h,1900000,S,Buxton,2017-09-16,5.0,3182,3,1,2,149,139,1970,Port Phillip City Council,-37.85834,144.98736,Southern Metropolitan,13240
Fawkner,1/1 Clara St,2,u,412000,S,Ray,2018-01-06,13.1,3060,2,1,1,540,92,1970,Hume City Council,-37.71024,144.96303,Northern Metropolitan,5070
Reservoir,12 Kinkora Rd,3,h,885000,S,hockingstuart,2017-03-18,11.2,3073,3,1,2,518,139,1970,Darebin City Council,-37.7303,145.0171,Northern Metropolitan,21650
Burwood,3/12 Somers St,2,u,605000,S,Noel,2017-05-06,11.7,3125,2,1,1,81,92,1965,Monash City Council,-37.8495,145.0999,Southern Metropolitan,5678
Carlton North,1032 Drummond St,5,h,1869914,S,Nelson,2017-06-24,3.5,3054,5,3,1,884,335,1970,Melbourne City Council,-37.7801,144.97216,Northern Metropolitan,3106
North Melbourne,10 Munster Tce,3,t,1000000,VB,Nelson,2016-11-27,2.3,3051,3,2,1,61,170,1920,Melbourne City Council,-37.8039,144.9424,Northern Metropolitan,6821
Vermont,37 Carinya Rd,4,h,1010000,S,Noel,2018-03-17,17.2,3133,4,1,2,620,216,1970,Maroondah City Council,-37.83347,145.191,Eastern Metropolitan,4181
Heathmont,38 Daisy St,3,h,1040000,S,Philip,2017-08-12,21.3,3135,3,1,1,756,139,1961,Maroondah City Council,-37.82909,145.233,Eastern Metropolitan,3794
Footscray,2/25 Stanlake St,3,t,699000,S,Jas,2016-09-24,6.4,3011,3,1,1,125,113,2000,Maribyrnong City Council,-37.7922,144.8831,Western Metropolitan,7570
Parkdale,3 Surf St,3,h,1415000,SP,Obrien,2017-05-27,21.5,3195,3,1,2,545,145,1950,Kingston City Council,-37.99827,145.07497,South-Eastern Metropolitan,5087
Hampton East,28 Roydon St,3,t,1150000,S,McGrath,2016-08-22,14.5,3188,3,2,1,0,3,2005,Bayside City Council,-37.9355,145.0276,Southern Metropolitan,2356
Doncaster,34 Council St,4,h,1480000,S,Philip,2017-04-08,13.9,3108,4,2,2,656,216,1965,Manningham City Council,-37.7833,145.1302,Eastern Metropolitan,9028
Surrey Hills,6/38 Boisdale St,2,u,640000,VB,Jellis,2017-03-04,11.2,3127,2,1,1,0,76,1970,Boroondara City Council,-37.8356,145.1029,Southern Metropolitan,5457
Bentleigh East,16b Denver St,4,t,1275000,S,Buxton,2017-04-29,13.9,3165,3,1,2,501,216,1970,Glen Eira City Council,-37.922614333333335,145.06720166666668,Southern Metropolitan,10969
Albert Park,14 Dundas Pl,3,h,1056532,SN,Greg,2017-11-18,3.0,3206,3,2,0,251,136,1900,Port Phillip City Council,-37.8413,144.958,Southern Metropolitan,3280
Keilor East,564 Buckley St,3,h,630000,S,Nelson,2016-04-16,12.8,3033,2,2,1,221,139,1970,Brimbank City Council,-37.7504,144.8594,Western Metropolitan,5629
Hawthorn,22/9 Lisson Gr,1,u,413392,PI,Biggin,2016-09-03,4.6,3122,1,1,1,0,52,1970,Boroondara City Council,-37.8261,145.0269,Southern Metropolitan,11308
Kensington,308/71 Henry St,2,u,763562,W,Pagan,2016-06-27,4.2,3031,2,2,1,0,92,1970,Melbourne City Council,-37.7961,144.9261,Northern Metropolitan,5263
Bentleigh,6 Gilbert Gr,5,h,2000000,VB,Buxton,2018-03-17,11.4,3204,5,3,2,665,332,2007,Glen Eira City Council,-37.92064,145.03146,Southern Metropolitan,6795
South Yarra,11/17 Como Av,2,t,1040000,PI,RT,2017-04-22,3.3,3141,3,1,2,427,92,1970,Melbourne City Council,-37.84183,144.99143846153845,Southern Metropolitan,14887
Templestowe Lower,20 Fyfe Dr,3,h,1181000,S,Jellis,2017-06-24,12.4,3107,3,1,2,656,139,1970,Manningham City Council,-37.77158,145.11816,Eastern Metropolitan,5420
Camberwell,4/28 Nevis St,2,u,745000,SP,Jellis,2017-11-25,7.7,3124,3,1,2,580,92,1970,Boroondara City Council,-37.8404904347826,145.07541869565216,Southern Metropolitan,8920
Moonee Ponds,10 Normanby St,4,h,1150000,S,Nelson,2016-10-15,6.9,3039,4,2,1,481,216,1970,Moonee Valley City Council,-37.7709,144.9151,Western Metropolitan,6232
Northcote,43 Salisbury Gr,4,h,1300000,VB,Jellis,2016-08-28,5.5,3070,4,3,2,187,216,1970,Darebin City Council,-37.7642,145.0025,Northern Metropolitan,11364
Altona,1/4 Deavey Ct,2,u,540000,VB,hockingstuart,2016-10-08,13.8,3018,3,1,2,401,92,1970,Hobsons Bay City Council,-37.86609833333333,144.820405,Western Metropolitan,5301
Bulleen,5 Penderel Wy,4,h,1830000,SP,Jellis,2017-10-28,10.8,3105,4,3,2,700,350,1998,Manningham City Council,-37.76125,145.09478,Eastern Metropolitan,4480
Hawthorn,28/168 Power St,1,u,360000,PI,Woodards,2017-04-08,4.6,3122,1,1,1,6494,78,1965,Boroondara City Council,-37.8254,145.0255,Southern Metropolitan,11308
Taylors Lakes,13 Clifton Ct,4,h,861000,S,Barry,2018-02-17,15.5,3038,3,1,2,662,216,1970,Brimbank City Council,-37.69895,144.793342,Western Metropolitan,5336
Richmond,3/40 Bridge Rd,1,u,370000,VB,hockingstuart,2016-06-18,2.6,3121,3,1,2,953,52,1970,Yarra City Council,-37.82169944444444,145.00182,Northern Metropolitan,14949
Nunawading,1/22 Burnt St,3,u,1056532,PI,Fletchers,2017-11-18,15.4,3131,3,1,2,557,139,1970,Manningham City Council,-37.820146666666666,145.17893333333333,Eastern Metropolitan,4973
Toorak,1 Grosvenor Ct,3,u,1635000,S,Sotheby's,2016-09-10,4.6,3142,3,1,0,1099,139,1970,Stonnington City Council,-37.8438,145.0303,Southern Metropolitan,7217
Mooroolbark,31 Andrew St,4,h,1359154,VB,McGrath,2018-03-17,26.5,3138,4,2,2,369,216,1970,Yarra Ranges Shire Council,-37.78027,145.30841,Eastern Victoria,8280
Sunshine,34 Ernest St,4,h,890000,S,Sweeney,2016-11-12,12.6,3020,4,1,2,668,127,1930,Brimbank City Council,-37.7796,144.845,Western Metropolitan,3755
Clifton Hill,7/16 The Esplanade,2,u,591000,S,Ray,2017-07-29,3.6,3068,2,1,1,0,64,1970,Yarra City Council,-37.78791,145.00588,Northern Metropolitan,2954
Preston,260 Gilbert Rd,4,h,1495000,PI,Woodards,2018-02-24,8.4,3072,4,1,3,653,197,1935,Darebin City Council,-37.74189,144.98967,Northern Metropolitan,14577
Windsor,19 Newry St,3,h,1400000,VB,Jellis,2017-06-17,4.6,3181,3,1,0,364,139,1970,Port Phillip City Council,-37.85538,145.00013,Southern Metropolitan,4380
Flemington,12 John St,2,h,845000,S,Nelson,2017-03-18,4.4,3031,2,1,1,0,92,1910,Melbourne City Council,-37.7838,144.9273,Northern Metropolitan,3593
Flemington,37 Waltham St,2,h,1225000,S,Jellis,2017-09-09,3.4,3031,2,1,1,150,96,1890,Melbourne City Council,-37.78363,144.92997,Northern Metropolitan,3593
Surrey Hills,11 Goodwood St,5,h,1869914,PN,hockingstuart,2017-03-11,11.2,3127,5,3,1,795,197,1940,Boroondara City Council,-37.8346,145.103,Southern Metropolitan,5457
Ivanhoe,83 Oriel Rd,3,h,1035000,S,Miles,2017-06-24,7.8,3079,3,1,2,585,139,1970,Banyule City Council,-37.75725,145.03744,Eastern Metropolitan,5549
Oakleigh South,9 Telopea Ct,4,h,800000,PI,Woodards,2016-06-18,14.7,3167,4,2,2,558,216,1970,Kingston City Council,-37.9393,145.0962,South-Eastern Metropolitan,3692
Glen Iris,3 Glentilt Rd,4,h,1359154,S,Marshall,2016-10-15,9.2,3146,4,2,3,643,221,1915,Boroondara City Council,-37.8535,145.0501,Southern Metropolitan,10412
Craigieburn,24 Fawkner La,4,h,615000,SP,Barry,2018-03-17,20.6,3064,4,2,2,623,216,1970,Hume City Council,-37.58401,144.93148,Northern Metropolitan,15510
Rosanna,4 Devlin Ct,4,h,1365000,SP,Miles,2017-09-16,8.9,3084,4,3,2,687,216,1970,Banyule City Council,-37.73184,145.07061,Eastern Metropolitan,3540
Williamstown,7 Alfred Pl,3,h,1200000,PI,Greg,2017-07-08,6.8,3016,3,2,0,159,139,1970,Hobsons Bay City Council,-37.85843,144.89976,Western Metropolitan,6380
Cremorne,14 Dover St,2,h,930000,S,hockingstuart,2016-07-16,2.5,3121,2,1,1,125,68,1900,Yarra City Council,-37.8258,144.992,Northern Metropolitan,1123
Caulfield South,8 Steele St,3,h,1056532,SN,Gary,2018-03-03,8.7,3162,3,2,2,588,139,1950,Glen Eira City Council,-37.89692,145.0258,Southern Metropolitan,5051
Canterbury,125 Canterbury Rd,5,h,3230000,S,Marshall,2017-11-18,8.4,3126,5,3,3,1053,313,1925,Boroondara City Council,-37.8231,145.0744,Southern Metropolitan,3265
Riddells Creek,6 Southbourne Rd,5,h,1869914,SP,Raine,2017-11-25,47.4,3431,5,3,6,621,2002,2000,Macedon Ranges Shire Council,-37.4594,144.6891,Northern Victoria,1475
Yallambie,10 Fahey Cr,3,h,825000,S,Barry,2018-03-17,12.7,3085,3,1,1,642,131,1960,Banyule City Council,-37.72966,145.08211,Northern Metropolitan,1369
Yarraville,2/367 Williamstown Rd,2,u,515000,S,hockingstuart,2017-09-23,6.3,3013,2,1,1,279,73,1975,Maribyrnong City Council,-37.82347,144.88186,Western Metropolitan,6543
Sunshine North,95A Berkshire Rd,4,t,650000,SP,Sweeney,2017-07-22,10.5,3020,4,2,1,283,182,2005,Brimbank City Council,-37.76508,144.83629,Western Metropolitan,4217
Templestowe Lower,38 Bryson Gr,4,h,1359154,S,hockingstuart,2016-04-16,13.8,3107,4,2,2,780,180,1970,Manningham City Council,-37.7656,145.1154,Eastern Metropolitan,5420
Bentleigh,9 Yawla St,4,h,2260000,S,Jellis,2017-10-14,11.4,3204,4,3,2,560,353,2008,Glen Eira City Council,-37.91324,145.02513,Southern Metropolitan,6795
Ashburton,51 Victory Bvd,2,h,1575000,S,Jellis,2017-03-04,11.0,3147,2,1,2,679,92,1970,Boroondara City Council,-37.869,145.0822,Southern Metropolitan,3052
Aspendale,16 Foam St,4,h,1125000,PI,O'Brien,2017-11-25,21.5,3195,3,1,2,2232,216,1970,Kingston City Council,-38.02778,145.10739999999998,South-Eastern Metropolitan,2824
West Footscray,23 Fontein St,2,h,850000,S,Sweeney,2016-05-22,8.2,3012,2,1,2,462,101,1960,Maribyrnong City Council,-37.8009,144.8653,Western Metropolitan,5058
Coburg North,45 Shorts Rd,3,h,720000,S,Nelson,2016-07-26,9.2,3058,3,1,2,499,105,1970,Darebin City Council,-37.7236,144.9576,Northern Metropolitan,3445
Melbourne,39/562 Little Bourke St,1,u,470000,PI,Kay,2017-10-14,0.0,3000,3,1,2,292,52,1970,Melbourne City Council,-37.812842,144.962956,Northern Metropolitan,17496
Gisborne,6 Morand St,4,h,700000,S,Raine,2017-09-16,45.9,3437,3,1,2,14232,216,1970,Macedon Ranges Shire Council,-37.49885666666666,144.58029,Northern Victoria,3376
North Melbourne,308/25 Oxford St,2,u,657000,SP,hockingstuart,2017-10-07,1.8,3051,3,1,2,326,92,1970,Melbourne City Council,-37.79779,144.94708666666668,Northern Metropolitan,6821
Reservoir,2/12 MacK St,3,t,1056532,PI,Nelson,2017-06-03,12.0,3073,3,2,1,160,123,2000,Darebin City Council,-37.702,145.01447,Northern Metropolitan,21650
Sunshine West,35 Fontana Cl,4,h,790000,S,Brad,2017-12-09,10.5,3020,4,2,2,635,216,1970,Brimbank City Council,-37.79567,144.79956,Western Metropolitan,6763
Roxburgh Park,10 Tiffany Cr,4,h,630000,SP,YPA,2018-01-06,20.6,3064,4,2,2,610,198,2003,Hume City Council,-37.61958,144.92492,Northern Metropolitan,5833
Hampton,63 Beach Rd,2,h,1690000,S,Buxton,2016-10-15,13.7,3188,2,1,1,319,92,1970,Bayside City Council,-37.9409,145.0001,Southern Metropolitan,5454
Edithvale,22a Field Av,3,u,740000,PI,hockingstuart,2017-07-08,27.0,3196,3,1,2,528,139,1970,Kingston City Council,-38.037726666666664,145.11517666666666,South-Eastern Metropolitan,2546
Maribyrnong,108/55 Cumberland Dr,2,u,575000,VB,Nelson,2018-02-17,4.3,3032,3,1,2,4748,92,1970,Maribyrnong City Council,-37.781317,144.890019,Western Metropolitan,4918
Ferntree Gully,24 Greenaway Dr,4,h,820000,S,Ray,2017-09-09,24.8,3156,4,2,2,728,216,1970,Knox City Council,-37.88393,145.26225,Eastern Metropolitan,10788
Ascot Vale,42 Archer Av,3,h,895000,S,Nelson,2016-02-04,5.9,3032,3,1,2,532,139,1970,Moonee Valley City Council,-37.77722555555556,144.91406999999998,Western Metropolitan,6567
Maribyrnong,2/21 Bloomfield Av,3,t,800000,SP,Biggin,2016-12-03,8.7,3032,3,1,2,4748,139,1970,Maribyrnong City Council,-37.781317,144.890019,Western Metropolitan,4918
Oakleigh South,37 Bourke Rd,4,h,676000,S,C21,2016-06-27,14.7,3167,3,1,2,624,216,1970,Kingston City Council,-37.9404,145.0964,South-Eastern Metropolitan,3692
Mentone,3/42 Flinders St,2,u,763562,VB,Buxton,2018-02-17,20.0,3194,3,1,2,1017,92,1970,Kingston City Council,-37.98079833333333,145.072265,South-Eastern Metropolitan,6162
Elwood,6/53 Tennyson St,2,u,500000,SA,Morleys,2017-05-20,7.7,3184,2,1,1,0,76,1960,Port Phillip City Council,-37.8777,144.9891,Southern Metropolitan,8989
Thornbury,94/337 Station St,3,u,1056532,VB,Jellis,2017-09-09,7.0,3071,3,2,2,322,125,2000,Darebin City Council,-37.76343,145.02096,Northern Metropolitan,8870
Essendon,131 Bradshaw St,3,h,1695000,S,Nelson,2017-03-18,8.0,3040,3,1,3,855,139,1970,Moonee Valley City Council,-37.7432,144.8947,Western Metropolitan,9264
Richmond,29/24 Tanner St,2,u,969000,S,Jellis,2018-02-24,2.4,3121,3,1,2,953,92,1970,Yarra City Council,-37.82169944444444,145.00182,Northern Metropolitan,14949
Richmond,8 Queen St,4,h,2080000,S,Jellis,2017-11-18,2.4,3121,3,1,2,953,216,1970,Yarra City Council,-37.82169944444444,145.00182,Northern Metropolitan,14949
Malvern East,95 Manning Rd,4,h,1359154,S,Jellis,2016-12-10,11.2,3145,4,3,2,757,216,1970,Stonnington City Council,-37.8733,145.0532,Southern Metropolitan,8801
Gisborne,7 Wyralla Cr,6,h,650000,SP,Raine,2017-09-16,45.9,3437,6,2,2,1301,294,1970,Macedon Ranges Shire Council,-37.50733,144.58666,Northern Victoria,3376
Canterbury,44 Balwyn Rd,4,h,1359154,VB,Fletchers,2017-10-28,8.4,3126,4,2,2,962,216,1926,Boroondara City Council,-37.8188,145.08042,Southern Metropolitan,3265
Yarraville,7 Stewart St,4,h,1340000,VB,Village,2017-03-18,7.0,3013,4,2,0,297,175,1900,Maribyrnong City Council,-37.8108,144.888,Western Metropolitan,6543
Mount Waverley,12 Baringa St,4,h,1359154,VB,Buxton,2017-07-29,14.2,3149,4,1,1,763,216,1970,Monash City Council,-37.87258,145.14008,Eastern Metropolitan,13366
Prahran,4/261 Dandenong Rd,2,u,788000,S,McGrath,2018-03-17,4.6,3181,3,1,2,115,92,1970,Stonnington City Council,-37.8526140909091,144.99909636363634,Southern Metropolitan,7717
Hughesdale,1/7 Carlisle Cr,2,h,750000,S,Woodards,2017-11-25,12.3,3166,3,1,2,603,92,1970,Monash City Council,-37.90192,145.0756,Southern Metropolitan,3145
Canterbury,42 Parlington St,4,h,4750000,S,Kay,2017-05-27,8.4,3126,4,3,2,967,470,1996,Boroondara City Council,-37.81792,145.06244,Southern Metropolitan,3265
Greensborough,8 Omaru Ri,3,h,821000,S,Darren,2017-08-12,16.1,3088,3,1,2,652,139,1970,Banyule City Council,-37.70598625,145.1022825,Northern Metropolitan,8524
Werribee South,105 Robbs Rd,4,h,640000,S,Scott,2018-02-24,14.7,3030,4,3,2,1315,216,1970,Wyndham City Council,-37.94082,144.72156,Western Metropolitan,821
Glenroy,40 Moonee Bvd,3,h,1056532,S,Barry,2016-06-18,13.0,3046,3,1,2,586,126,1980,Moreland City Council,-37.6974,144.907,Northern Metropolitan,8870
